_id,lat,lon,name,street_address,suburb,seats,industry_code,industry_desc,ref
1,-37.799808,144.993784,77 Melbourne Bento,268 Johnston St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
2,-37.8084889,144.9999844,8 Murray St,8 Murray St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
3,-37.8096896,144.9926059,ALDI Stores,313-321 Victoria St Abbotsford VIC 3067,Abbotsford,,4110,Supermarket and Grocery Stores,
4,-37.8004034,144.9973958,Admiral Cheng Ho,325 Johnston St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
5,-37.809625,144.992265,Anothai,247 Victoria St Abbotsford VIC 3067,Abbotsford,,4110,Supermarket and Grocery Stores,
6,-37.8051086,144.9935066,Ashvatha Ltd,112/205 Gipps St Abbotsford VIC 3067,Abbotsford,,4129,Other Specialised Food Retailing,
7,-37.8088212,144.9960576,Au79,27-29 Nicholson St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
8,-37.8002296,144.9932808,Aurora Pizza,230 Hoddle St Abbotsford VIC 3067,Abbotsford,,4512,Takeaway Food Services,
9,-37.7982058,144.9981094,Australian Education Union,126-142 Trenerry Cres Abbotsford VIC 3067,Abbotsford,,4513,Catering Services,
10,-37.8096896,144.9926059,Aviary Hotel,271-273 Victoria St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
11,-37.8096896,144.9926059,BWS Abbotsford,313-321 Victoria St Abbotsford VIC 3067,Abbotsford,,4129,Other Specialised Food Retailing,
12,-37.8096896,144.9926059,Baker's Arms Hotel,355 Victoria St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
13,-37.8040556,144.9979609,Bibendum Wine Co,3 Harper St Abbotsford VIC 3067,Abbotsford,,3601,General Line Grocery Wholesaling,
14,-37.805148,144.992405,Billy's Pizza Joint,110 Hoddle St Abbotsford VIC 3067,Abbotsford,,4512,Takeaway Food Services,
15,-37.8096896,144.9926059,Bing's Buns Bao,371 Victoria St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
16,-37.7999341,144.9939445,Bodriggy Brewpub,243-245 Johnston St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
17,-37.80004,144.993764,Bomb Café,229 Johnston St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
18,-37.8096896,144.9926059,Bonbons Bakery Abbotsford,2/313 Victoria St Abbotsford VIC 3067,Abbotsford,,1174,Bakery Product Manufacturing (Non-factory based),
19,-37.8046,144.9998,Breadtop Factory,3/204-206 Gipps St Abbotsford VIC 3067,Abbotsford,,1140,Fruit and Vegetable Processing,
20,-37.8053205,144.99235,Burgers a Gogo,106 Hoddle St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
21,-37.8030856,145.0037161,Bursaria Fine Foods,1 St Heliers St Abbotsford VIC 3067,Abbotsford,,4513,Catering Services,
22,-37.7999341,144.9939445,Cafe Vit,413 Johnston St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
23,-37.8093898,144.9914891,Caltex Starmart Abbotsford,28-40 Hoddle St Abbotsford VIC 3067,Abbotsford,,4110,Supermarket and Grocery Stores,
24,-37.8096183,145.0008213,Carlton & United Breweries,36-80 Church St Abbotsford VIC 3067,Abbotsford,,1140,Fruit and Vegetable Processing,
25,-37.8087894,145.0055335,Carlton & United Breweries-Spotless (Brewery Only),4 Southampton Cres Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
26,-37.8096183,145.0008213,Carlton Brewhouse,36-80 Church St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
27,-37.8096896,144.9926059,Chimac the Korean bistro,345 Victoria St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
28,-37.7982058,144.9981094,Chomp Café,1 Trenerry Cres Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
29,-37.80733,144.992278,City East Motel,181 Langridge St Abbotsford VIC 3067,Abbotsford,,4129,Other Specialised Food Retailing,
30,-37.8096896,144.9926059,Cloud 9 Smoke Shop & Accessories,441-443 Victoria St Abbotsford VIC 3067,Abbotsford,,4129,Other Specialised Food Retailing,
31,-37.8096896,144.9926059,Coffee Corner,8/313 Victoria St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
32,-37.8074604,144.9930449,Coffee Peddlr,203 Langridge St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
33,-37.8086792,145.0067071,Coffee Supreme Pty Ltd,28 Grosvenor St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
34,-37.7983218,144.9937711,Coles Express Abbotsford,266-278 Hoddle St Abbotsford VIC 3067,Abbotsford,,4110,Supermarket and Grocery Stores,
35,-37.8033213,145.0064295,Collingwood Children's Farm,18 St Heliers St Abbotsford VIC 3067,Abbotsford,,1140,Fruit and Vegetable Processing,
36,-37.8033213,145.0064295,Collingwood Children's Farm Apiary,18 St Heliers St Abbotsford VIC 3067,Abbotsford,,4129,Other Specialised Food Retailing,
37,-37.8046,144.9998,Computershare Cafe,452-484 Johnston St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
38,-37.8030856,145.0037161,Convent Bakery,1 St Heliers St Abbotsford VIC 3067,Abbotsford,,1174,Bakery Product Manufacturing (Non-factory based),
39,-37.8072913,144.9931365,Damm Fine Food,31-37 Russell St Abbotsford VIC 3067,Abbotsford,,4513,Catering Services,
40,-37.8096896,144.9926059,Dana Pani Indian Restaurant,395-397 Victoria St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
41,-37.8106403,145.0049177,Delicious Traditional,551 Victoria St Abbotsford VIC 3067,Abbotsford,,4512,Takeaway Food Services,
42,-37.8086792,145.0067071,Dench Bakers,17 Grosvenor St Abbotsford VIC 3067,Abbotsford,,1174,Bakery Product Manufacturing (Non-factory based),
43,-37.7999341,144.9939445,Dr Morse,274 Johnston St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
44,-37.8057117,144.9968926,Ed Dixon Food Design,102 Nicholson St Abbotsford VIC 3067,Abbotsford,,4513,Catering Services,
45,-37.797041,144.9941336,Eighteen Thousand,1 Abbot Gr Abbotsford VIC 3067,Abbotsford,,3601,General Line Grocery Wholesaling,
46,-37.8046,144.9998,Euro Garages Australia,276-286 Johnston St Abbotsford VIC 3067,Abbotsford,,4110,Supermarket and Grocery Stores,
47,-37.8086738,145.0074977,Explorers Early Learning - Flockhart Street,3 Flockhart St Abbotsford VIC 3067,Abbotsford,,8710,Child Care Services,
48,-37.8106304,145.0022218,FOF Rotary Hotpot,481 Victoria St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
49,-37.8095022,145.004336,FareShare,1-7 South Audley St Abbotsford VIC 3067,Abbotsford,,1174,Bakery Product Manufacturing (Non-factory based),
50,-37.8096896,144.9926059,First Choice Liquor Superstore,601 Victoria St Abbotsford VIC 3067,Abbotsford,,4129,Other Specialised Food Retailing,
51,-37.8046,144.9998,Four Larks Cafe,4/661-663 Victoria St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
52,-37.8116332,145.0136876,Frankie Says,15 Acacia Pl Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
53,-37.797041,144.9941336,Friend + Burrell,1 Abbot Gr Abbotsford VIC 3067,Abbotsford,,3601,General Line Grocery Wholesaling,
54,-37.8096896,144.9926059,Gongcha,323-325 Victoria St Abbotsford VIC 3067,Abbotsford,,4511,Cafes and Restaurants,
55,-37.8096896,144.9926059,Green Square IGA Plus Liquor,609-615 Victoria St Abbotsford VIC 3067,Abbotsford,,4110,Supermarket and Grocery Stores,
56,-37.8096896,144.9926059,H2A Wholesale and Retail,363B Victoria St Abbotsford VIC 3067,Abbotsford,,4129,Other Specialised Food Retailing,
